question,options,answer,answer_idx,dataset_source
"A 38-year-old woman, gravida 4, para 3, at 20 weeks' gestation comes to the physician for a prenatal care visit. She used fertility enhancing treatment for her current pregnancy. Her other children were born before 37 weeks' gestation. She is 170 cm (5 ft 7 in) tall and weighs 82 kg (180 lb); BMI is 28.4 kg/m2. Her vital signs are within normal limits. The abdomen is nontender, and no contractions are felt. Ultrasonography shows a cervical length of 22 mm and a fetal heart rate of 140/min. Which of the following is the most likely diagnosis?","{""A"": ""Bicornuate uterus"", ""B"": ""Placental insufficiency"", ""C"": ""Diethylstilbestrol exposure"", ""D"": ""Cervical insufficiency""}",Cervical insufficiency,D,Med-QA
"A 28-year-old woman presents to her primary care physician with recurring muscle cramps that have lasted for the last 2 weeks. She mentions that she commonly has these in her legs and back. She also has a constant tingling sensation around her mouth. On physical examination, her vital signs are stable. The Trousseau sign and Chvostek sign are present with exaggerated deep tendon reflexes. A comprehensive blood test reveals the following:
Na+ 140 mEq/L
K+ 4.5 mEq/L
Chloride 100 mEq/L
Bicarbonate 24 mEq/L
Creatinine 0.9 mg/dL
Ca2+ 7.0 mg/dL
Which of the following electrophysiologic mechanisms best explain this woman’s clinical features?","{""A"": ""Stimulation of GABA (γ-aminobutyric acid) receptors"", ""B"": ""Reduction of afterhyperpolarization"", ""C"": ""Inhibition of Na+ and Ca2+ currents through cyclic nucleotide-gated (CNG) channels"", ""D"": ""Inhibition of sodium current through sodium leak channels (NALCN)""}",Reduction of afterhyperpolarization,B,Med-QA
"A 38-year-old woman comes to the physician because of a 3-month history of moderate abdominal pain that is unresponsive to medication. She has a history of two spontaneous abortions at 11 and 12 weeks' gestation. Ultrasound examination of the abdomen shows normal liver parenchyma, a dilated portal vein, and splenic enlargement. Upper endoscopy shows dilated submucosal veins in the lower esophagus. Further evaluation of this patient is most likely to show which of the following findings?","{""A"": ""Increased prothrombin time"", ""B"": ""Hepatic venous congestion"", ""C"": ""Councilman bodies"", ""D"": ""Thrombocytopenia""}",Thrombocytopenia,D,Med-QA
"A 5-year-old girl is brought to the emergency department because of abdominal pain, vomiting, and diarrhea for 6 days. Her mother says that over the last 24 hours she has developed a rash and has been urinating less frequently than usual. One month ago, she had a 3-day episode of high fever and sore throat that subsided without medical treatment. She appears weak. Her temperature is 37.7°C (99.8°F), pulse is 120/min, respirations are 28/min, and blood pressure is 114/72 mm Hg. Examination shows petechiae on the trunk and jaundice of the skin. The abdomen is diffusely tender with no peritoneal signs. Neurological examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8 g/dL
Mean corpuscular volume 85 μm3
Leukocyte count 16,200/mm3
Platelet count 38,000/mm3
Serum
Blood urea nitrogen 43 mg/dL
Creatinine 2.9 mg/dL
pH 7.0
Urine dipstick is positive for blood and protein. A blood smear shows schistocytes and normochromic, normocytic cells. In addition to supportive treatment, which of the following is the most appropriate next step in management of this patient?""","{""A"": ""Diazepam therapy"", ""B"": ""Red blood cell transfusions"", ""C"": ""Platelet transfusion"", ""D"": ""Hemodialysis""}",Hemodialysis,D,Med-QA
"A 28-year-old primigravid woman at 36 weeks' gestation comes to the emergency department because of worsening pelvic pain for 2 hours. Three days ago, she had a burning sensation with urination that resolved spontaneously. She has nausea and has vomited fluid twice on her way to the hospital. She appears ill. Her temperature is 39.7°C (103.5°F), pulse is 125/min, respirations are 33/min, and blood pressure is 130/70 mm Hg. Abdominal examination shows diffuse tenderness. No contractions are felt. Speculum examination shows pooling of nonbloody, malodorous fluid in the vaginal vault. The cervix is not effaced or dilated. Laboratory studies show a hemoglobin concentration of 14 g/dL, a leukocyte count of 16,000/mm3, and a platelet count of 250,000/mm3. Fetal heart rate is 148/min and reactive with no decelerations. Which of the following is the most appropriate next step in management?","{""A"": ""Administer intravenous ampicillin and gentamicin and perform C-section"", ""B"": ""Expectant management"", ""C"": ""Administer intravenous ampicillin and gentamicin and induce labor"", ""D"": ""Perform C-section""}",Administer intravenous ampicillin and gentamicin and induce labor,C,Med-QA
"A 45-year-old woman with history of systemic sclerosis presents with new onset dyspnea, which is worsened with moderate exertion. She also complains of chest pain. An ECG was obtained, and showed right-axis deviation. Chest x-ray showed right ventricle hypertrophy. Given the patient's history and presentation, right heart catheterization was performed, which confirmed the suspected diagnosis of pulmonary artery hypertension. It is decided to start the patient on bosentan. Which of the following describes the method of action of bosentan?","{""A"": ""Endothelin receptor antagonist"", ""B"": ""Endothelin receptor agonist"", ""C"": ""Phosphodiesterase type 5 inhibitor"", ""D"": ""Calcium channel blocker""}",Endothelin receptor antagonist,A,Med-QA
"A 34-year-old man presents to his primary care provider for evaluation of nocturnal cough and dyspnea. He has been a smoker for the past 15 years with a 7.5-pack-year smoking history. He has no significant medical history and takes no medications. His blood pressure is 118/76 mm Hg, the heart rate is 84/min, the respiratory rate is 15/min, and the temperature is 37.0°C (98.6°F). A sputum sample shows Charcot-Leyden crystals and Curschmann spirals. What is the most likely diagnosis?","{""A"": ""Chronic obstructive pulmonary disease"", ""B"": ""Atopic asthma"", ""C"": ""Panacinar emphysema"", ""D"": ""Pneumonia""}",Atopic asthma,B,Med-QA
"A 30-year-old G3P0 woman who is 28 weeks pregnant presents for a prenatal care visit. She reports occasionally feeling her baby move but has not kept count over the past couple weeks. She denies any bleeding, loss of fluid, or contractions. Her previous pregnancies resulted in spontaneous abortions at 12 and 14 weeks. She works as a business executive, has been in excellent health, and has had no surgeries. She states that she hired a nutritionist and pregnancy coach to ensure good prospects for this pregnancy. On physical exam, fetal heart tones are not detected. Abdominal ultrasound shows a 24-week fetal demise. The patient requests an autopsy on the fetus and wishes for the fetus to pass ""as naturally as possible."" What is the best next step in management?","{""A"": ""Caesarean delivery"", ""B"": ""Dilation and curettage"", ""C"": ""Dilation and evacuation"", ""D"": ""Induction of labor now""}",Induction of labor now,D,Med-QA
"On the 3rd day post-anteroseptal myocardial infarction (MI), a 55-year-old man who was admitted to the intensive care unit is undergoing an examination by his physician. The patient complains of new-onset precordial pain which radiates to the trapezius ridge. The nurse informs the physician that his temperature was 37.7°C (99.9°F) 2 hours ago. On physical examination, the vital signs are stable, but the physician notes the presence of a triphasic pericardial friction rub on auscultation. A bedside electrocardiogram shows persistent positive T waves in leads V1–V3 and an ST segment: T wave ratio of 0.27 in lead V6. Which of the following is the drug of choice to treat the condition the patient has developed?","{""A"": ""Aspirin"", ""B"": ""Colchicine"", ""C"": ""Clarithromycin"", ""D"": ""Furosemide""}",Aspirin,A,Med-QA
"A 32-year-old woman is supposed to undergo tooth extraction surgery. Physical examination is unremarkable, and she has a blood pressure of 126/84 mm Hg and regular pulse of 72/min. She takes no medications. Which of the following cardiac conditions would warrant antibiotic prophylaxis to prevent infective endocarditis in this patient?","{""A"": ""Hypertrophic obstructive cardiomyopathy (HOCM)"", ""B"": ""Ventricular septal defect (VSD)"", ""C"": ""Past history of infective endocarditis"", ""D"": ""Mitral regurgitation""}",Past history of infective endocarditis,C,Med-QA
"On physical examination and imaging, a 3-year-old male shows evidence of multiple healed fractures and bruising. On eye exam, the child's irises appear blue, and results of a fundoscopic exam are shown in Image A. What is the most appropriate next step in the care of this patient?","{""A"": ""Genetic testing for collagen synthesis disorder"", ""B"": ""Call child protective services"", ""C"": ""Hearing test"", ""D"": ""Bone marrow transplant""}",Call child protective services,B,Med-QA
"A 32-year-old woman presents with odorless vaginal discharge, irritation, and itching. She developed these symptoms about a week ago, which was 5 days after she had finished treatment with ceftriaxone for otitis media. She has a single sexual partner and uses oral contraceptives. She is allergic to macrolides, azoles, and nystatin. Her vital signs are as follows: blood pressure is 110/60 mm Hg, heart rate is 80/min, respiratory rate is 15/min, and temperature is 36.6℃ (97.9℉). Examination reveals a thick, curd-like, white odorless vaginal discharge and vulvar erythema. Considering the spectrum of agents she is allergic to, she is prescribed topical sulfonamide, a competitive inhibitor against an important bacterial enzyme. Which of the following Michaelis-Menten plots describes the kinetics of conversion of para-aminobenzoic acid to folate by dihydropteroate synthase under the influence of sulfanilamide?","{""A"": ""1"", ""B"": ""2"", ""C"": ""4"", ""D"": ""5""}",2,B,Med-QA
"A 35-year-old woman comes to the physician because of progressive left flank pain over the past 2 weeks. She has a history of type 1 diabetes mellitus. Her temperature is 38°C (100.4°F). There is tenderness to percussion along the left flank. Passive extension of the left hip is painful. Her leukocyte count is 16,000/mm3. An axial CT scan is shown. The underlying pathology is most likely located in which of the following anatomical structures?","{""A"": ""Quadratus lumborum muscle"", ""B"": ""Iliacus muscle"", ""C"": ""Psoas major muscle"", ""D"": ""Left kidney""}",Psoas major muscle,C,Med-QA
"A 45-year-old woman comes to the physician because of a 3-month history of worsening fatigue, loss of appetite, itching of the skin, and progressive leg swelling. Although she has been drinking 2–3 L of water daily, she has been passing only small amounts of urine. She has type 1 diabetes mellitus, chronic kidney disease, hypertension, and diabetic polyneuropathy. Her current medications include insulin, torasemide, lisinopril, and synthetic erythropoietin. Her temperature is 36.7°C (98°F), pulse is 87/min, and blood pressure is 138/89 mm Hg. She appears pale. There is 2+ pitting edema in the lower extremities. Sensation to pinprick and light touch is decreased over the feet and legs bilaterally. Laboratory studies show:
Hemoglobin 11.4 g/dL
Leukocyte count 6000/mm3
Platelet count 280,000/mm3
Serum
Na+ 137 mEq/L
K+ 5.3 mEq/L
Cl− 100 mEq/L
HCO3− 20 mEq/L
Urea nitrogen 85 mg/dL
Creatinine 8 mg/dL
pH 7.25
Which of the following long-term treatments would best improve quality of life and maximize survival in this patient?""","{""A"": ""Cadaveric kidney transplant"", ""B"": ""Fluid restriction"", ""C"": ""Living donor kidney transplant"", ""D"": ""Peritoneal dialysis""}",Living donor kidney transplant,C,Med-QA
"A 20-year-old man comes to the clinic complaining of fever and a sore throat for 5 days. He receives oral penicillin from his primary doctor. After a day of antibiotic treatment, he developed gross hematuria. As a child, he recalls having multiple episodes of hematuria. The vital signs are within normal limits. On physical examination, pharyngeal edema and cervical lymphadenopathy are present. His laboratory examination reveals the following:
WBC 11,000/mm3
Neutrophils 76%
Lymphocytes 23%
Eosinophils 1%
Platelets 150,000/mm3
Hemoglobin 14 g/dL
Hct 41.2%
BUN 16 mg/dL
Creatinine 0.9 mg/dL
ASO titer 100
Urinalysis shows hematuria but no proteinuria. Immunofluorescence shows granular IgA immune complex deposits in the mesangium. Hepatitis B, hepatitis C, and HIV serology are negative. ASO titers and C3 levels are within normal limits. What is the most likely diagnosis?","{""A"": ""Berger’s disease"", ""B"": ""Post-streptococcal glomerulonephritis"", ""C"": ""Hemolytic uremic syndrome"", ""D"": ""Celiac disease""}",Berger’s disease,A,Med-QA
"A 46-year-old woman presents with palpitations, tremors, and anxiety. She says these symptoms have been present ever since a recent change in her diabetic medication. The most recent time she felt these symptoms, her blood glucose level was 65 mg/dL, and she felt better after eating a cookie. Which of the following is the mechanism of action of the drug most likely to have caused this patient's symptoms?","{""A"": ""Block reabsorption of glucose in proximal convoluted tubule (PCT)"", ""B"": ""Inhibition of α-glucosidase"", ""C"": ""Blocking of the ATP-sensitive K+ channels"", ""D"": ""Decreased hepatic gluconeogenesis""}",Blocking of the ATP-sensitive K+ channels,C,Med-QA
"A 49-year-old man presents to the clinic for evaluation of puncture wounds on the dorsal aspect of his right second and third metacarpals. He states that he was in a fight 3 nights ago and he struck another individual in the mouth. The patient’s medical history is significant for peripheral vascular disease and hypertension. He takes aspirin, sulfasalazine, and lisinopril. He is allergic to penicillin. He drinks socially on weekends and smokes one and one-half packs of cigarettes daily. Vitals of the patient are as follows: blood pressure is 142/88 mm Hg; heart rate is 88/min; respiratory rate is 14/min; temperature is 38.9°C (102.1°F). On physical examination, the patient appears alert and oriented. His BMI is 33 kg/ m². His eyes are without scleral icterus. His right orbital region reveals ecchymosis along the superior and inferior borders. His heart is regular in rhythm and rate without murmurs. Capillary refill is 4 seconds in fingers and toes. His right dorsal second and third metacarpal region reveals two 3 mm lacerations with edema. Which of the following is the most appropriate management strategy for this patient?","{""A"": ""Azithromycin with irrigation and debridement"", ""B"": ""Clindamycin plus doxycycline with irrigation and debridement"", ""C"": ""Doxycycline with irrigation and debridement"", ""D"": ""Irrigation and debridement""}",Clindamycin plus doxycycline with irrigation and debridement,B,Med-QA
"A 55-year-old man comes to the physician because of a 4-month history of episodic, pressure-like chest pain. The chest pain occurs when he is walking up stairs and improves with rest. He has hypertension and type 2 diabetes mellitus. His father died from a myocardial infarction at the age of 50 years. Current medications include hydrochlorothiazide and metformin. His pulse is 85/min, respirations are 12/min, and blood pressure is 140/90 mm Hg. Cardiac examination shows normal heart sounds without any murmurs, rubs, or gallops. An ECG shows high amplitude of the S wave in lead V3. An exercise stress test is performed but stopped after 4 minutes because the patient experiences chest pain. An ECG obtained during the stress test shows sinus tachycardia and ST-segment depressions in leads V1–V4. Which of the following is the most appropriate long-term pharmacotherapy to reduce the frequency of symptoms in this patient?","{""A"": ""Isosorbide mononitrate"", ""B"": ""Aspirin"", ""C"": ""Metoprolol"", ""D"": ""Clopidogrel""}",Metoprolol,C,Med-QA
"A 67-year-old man with a history of diabetes mellitus, COPD, and a ST-elevation myocardial infarction currently on dialysis presents with shortness of breath for the past 2 hours. The patient missed his recent dialysis appointment and has been noncompliant with his other medications. The patient found out his best friend died this morning and has felt worse since this event. His temperature is 98.7°F (37.1°C), blood pressure is 87/48 mmHg, pulse is 130/min, respirations are 27/min, and oxygen saturation is 92% on room air. A bedside ultrasound demonstrates an anechoic rim surrounding the heart with poor cardiac squeeze, global hypokinesis, and right ventricular collapse with pleural sliding. Laboratory values are notable for 2 cardiac troponins that measure 0.72 ng/mL and 0.71 ng/mL. Which of the following is the most likely diagnosis?","{""A"": ""Cardiac tamponade"", ""B"": ""Myocardial infarction"", ""C"": ""Takotsubo cardiomyopathy"", ""D"": ""Tension pneumothorax""}",Cardiac tamponade,A,Med-QA
"A 27-year-old woman visits your office with a 3-day complaint of fever, malaise, myalgias, and headaches associated with vulvar itching, vulvar soreness, dysuria, and urethral discharge. The pain when urinating is so severe that she has attempted to avoid the use of the toilet. She just returned from a spring break in the tropics and explains that she had multiple unprotected sexual encounters with men and women. Upon physical examination, the temperature was 38.7°C (101.6°F) and the heart rate was 90/min. The pelvic examination revealed vulvar ulcers, vulvar excoriations, erythema, vaginal mucosa edema, and ulcerative cervicitis. Which of the following will best aid you in the identification of the specific organism causing the above symptoms?","{""A"": ""Serology"", ""B"": ""Direct fluorescence antigen"", ""C"": ""Culture in Thayer-Martin agar"", ""D"": ""Location of the lesions""}",Direct fluorescence antigen,B,Med-QA
"A 24-year-old woman presents to her primary care physician for bilateral nipple discharge. She states that this started recently and seems to be worsening. She denies any other current symptoms. The patient states that she is not currently sexually active, and her last menstrual period was over a month ago. Her medical history is notable for atopic dermatitis and a recent hospitalization for an episode of psychosis. Her temperature is 99.5°F (37.5°C), blood pressure is 110/65 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. Cardiopulmonary and abdominal exam are within normal limits. Which of the following is the most likely cause of this patient's symptoms?","{""A"": ""Alteration of the tuberoinfundibular pathway"", ""B"": ""Alteration of the nigrostriatal pathway"", ""C"": ""Alteration of the mesolimbic pathway"", ""D"": ""Normal pregnancy""}",Alteration of the tuberoinfundibular pathway,A,Med-QA
"A 60-year-old man comes to the clinic with the complaint of knee pain for the past few weeks. The pain is located in the left knee, associated with morning stiffness for about an hour, and improves with activities throughout the day. He also has a history of diabetes mellitus, hypertension, peptic ulcer disease, and ischemic heart disease. He underwent angioplasty last year for a STEMI. The patient takes metformin, aspirin, clopidogrel, atorvastatin, ramipril, omeprazole, and bisoprolol. He used to smoke one pack of cigarettes a day for the last 45 years but stopped smoking for the past one year following his heart attack. He drinks alcohol socially. His father has Alzheimer’s disease and is in adult home care, and his mother died of breast cancer when she was 55. His temperature is 37.6°C (99.8°F), blood pressure is 132/65 mm Hg, pulse is 90/min, respirations are 14/min, and BMI is 22 kg/m2. On examination, his left knee is swollen, warm, tender to touch, and has decreased range of movement due to pain. Cardiopulmonary and abdominal examinations are negative. Laboratory investigation is shown below:
Complete blood count:
Hemoglobin 11.5 g/dL
Leukocytes 14,000/mm3
Platelets 155,000/mm3
ESR     40 mm/hr
What is the best next step in the management of this patient?","{""A"": ""X-ray left knee"", ""B"": ""Synovial fluid analysis"", ""C"": ""Ibuprofen"", ""D"": ""Flucloxacillin""}",Synovial fluid analysis,B,Med-QA
"A 61-year-old man with longstanding diabetes and coronary artery disease presents to the ER with chest pain and dyspnea. The echocardiogram reveals moderate-to-severe mitral regurgitation and an ejection fraction of 27%. A chest X-ray shows bibasilar infiltrates. A new drug is added to his medication regimen, and the physician mentions urinary frequency, increased breast tissue development, and erectile dysfunction as possible side effects. What is the mechanism of action of this drug?","{""A"": ""Inhibits beta-adrenergic receptors to decrease SA node conduction velocity"", ""B"": ""Inhibits epithelial Na-channels on the cortical collecting duct"", ""C"": ""Inhibits mineralocorticoid receptor on the cortical collecting duct"", ""D"": ""Inhibits Na-Cl symporter on the distal convoluted tubule""}",Inhibits mineralocorticoid receptor on the cortical collecting duct,C,Med-QA
"A 28-year-old woman presents to the emergency department with a sudden onset of nausea, vomiting, and pain in the upper abdomen for the past 3 hours. She reports that the pain has increased in severity over these 3 hours and frequently radiates to the back. She was diagnosed as HIV positive 2 years ago. She was placed on raltegravir/tenofovir/emtricitabine 1 year ago, but because of treatment failure, her antiretroviral therapy was changed to abacavir/didanosine/dolutegravir/enfuvirtide/fosamprenavir 3 months ago. Her temperature is 37.8°C (100.0°F), heart rate is 110/min, respiratory rate is 18/min, and blood pressure is 124/80 mm Hg. Abdominal examination shows tenderness in the upper abdomen, but there is an absence of guarding or rigidity. Ultrasonography of the abdomen shows an edematous pancreas and an absence of gallstones. Laboratory studies show:
Serum glucose 120 mg/dL
Serum aspartate aminotransferase 74 U/L
Serum alanine aminotransferase 88 U/L
Serum amylase 800 U/L
Serum triglyceride 125 mg/dL
In addition to pain control, which of the following is an appropriate initial step in treatment?","{""A"": ""Discontinue abacavir"", ""B"": ""Discontinue didanosine"", ""C"": ""Discontinue dolutegravir"", ""D"": ""Discontinue enfuvirtide""}",Discontinue didanosine,B,Med-QA
"A 77-year-old man is brought to the emergency department by his wife because of headache, nausea, and vomiting for 24 hours. His wife says that over the past 2 weeks, he has been more irritable and has had trouble remembering to do routine errands. Two weeks ago, he fell during a skiing accident but did not lose consciousness. He has coronary artery disease and hypertension. He has smoked one pack of cigarettes daily for 50 years. He has had 2 glasses of wine daily since his retirement 10 years ago. Current medications include atenolol, enalapril, furosemide, atorvastatin, and aspirin. He appears acutely ill. He is oriented to person but not to place or time. His temperature is 37°C (98.6°F), pulse is 99/min, respirations are 16/min, and blood pressure is 160/90 mm Hg. During the examination, he is uncooperative and unable to answer questions. Deep tendon reflexes are 4+ on the left and 2+ on the right. Babinski's sign is present on the left. There is mild weakness of the left iliopsoas and hamstring muscles. A CT scan of the head without contrast shows a high-density, 15-mm crescentic collection across the right hemispheric convexity. Which of the following is the most appropriate next step in the management of this patient?","{""A"": ""Recombinant tissue plasminogen activator administration"", ""B"": ""Observation"", ""C"": ""Surgical evacuation"", ""D"": ""Obtain an Electroencephalography""}",Surgical evacuation,C,Med-QA
"A 17-year-old boy is brought to the pediatrician by his mother for an initial visit. He recently immigrated from Cambodia. Through an interpreter, the patient reports 6 months of mild exertional dyspnea. He denies chest pain or palpitations. His medical history is unremarkable and he has never had any surgeries. His family history is significant for hypertension and diabetes. His father died of tuberculosis. The patient’s vaccination history is unknown. His temperature is 98°F (36.7°C), blood pressure is 113/71 mmHg, and pulse is 82/min. His BMI is 24 kg/m^2. Physical examination shows a well-nourished, cooperative boy without any grossly dysmorphic features. Cardiac auscultation reveals a grade II systolic ejection murmur along the left upper sternal border and a mid-diastolic rumble along the left sternal border. S1 is normal and the splitting of S2 does not change with inspiration. Which of the following is the most likely diagnosis?","{""A"": ""Atrial septal defect"", ""B"": ""Bicuspid aortic valve"", ""C"": ""Hypertrophic cardiomyopathy"", ""D"": ""Ventricular septal defect""}",Atrial septal defect,A,Med-QA
"A 35-year-old man comes to the physician because of dull abdominal pain on his right side for 4 months. He also reports episodic nausea and vomiting during this period. He does not have fever, altered bowel habits, or weight loss. He has had a pet dog for 8 years. He appears healthy. Vital signs are within normal limits. Abdominal examination shows a nontender mass 3 cm below the right costal margin that moves with respiration. Laboratory studies show:
Hemoglobin 14.6 g/dL
Leukocyte count 7200/mm3
Segmented neutrophils 58%
Eosinophils 8%
Lymphocytes 30%
Monocytes 4%
Ultrasound of the abdomen shows a focal hypoechoic cyst within the liver measuring 7 cm. An ELISA confirms the diagnosis. He is scheduled for CT-guided percutaneous drainage under general anesthesia with orotracheal intubation. Seven minutes into the procedure, the patient's oxygen saturation suddenly decreases from 95% to 64%. His heart rate is 136/min, and blood pressure is 86/58 mm Hg. Capnography cannot record an end tidal CO2 waveform. Breath sounds are absent bilaterally. Which of the following is most appropriate next step in management?""","{""A"": ""Exploratory laparotomy"", ""B"": ""Epinephrine"", ""C"": ""Cricothyrotomy"", ""D"": ""Norepinephrine\n\""""}",Epinephrine,B,Med-QA
"A 55-year-old man with a history of IV drug abuse presents to the emergency department with an altered mental status. He was found unconscious in the park by police. His temperature is 100.0°F (37.8°C), blood pressure is 87/48 mmHg, pulse is 150/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for multiple scars and abscesses in the antecubital fossa. His laboratory studies are ordered as seen below.

Serum:
Na+: 139 mEq/L
Cl-: 105 mEq/L
K+: 4.3 mEq/L
HCO3-: 19 mEq/L
BUN: 20 mg/dL
Glucose: 95 mg/dL
Creatinine: 1.5 mg/dL
Ca2+: 10.2 mg/dL

Which of the following is the most appropriate treatment for this patient’s blood pressure and acid-base status?","{""A"": ""Dextrose 5% normal saline"", ""B"": ""Hypertonic saline"", ""C"": ""Normal saline"", ""D"": ""Ringer lactate""}",Ringer lactate,D,Med-QA
"A 66-year-old man presents to the emergency department for shortness of breath for the last 2 hours. Despite his diagnosis of heart failure 2 years ago, he has refused to make any diet changes. He takes aspirin and carvedilol but is poorly compliant. His vitals signs are pulse of 135/min, respirations 30/min, and a blood pressure of 150/80 mm Hg. The patient is visibly distressed and unable to lie down. He is taking shallow breaths and auscultation reveals bilateral crackles in the chest. Jugular venous distension is seen. Pitting edema is present in the lower limbs. A chest X-ray shows prominent interstitial markings bilaterally with alveolar infiltrates. Which of the following is the mechanism of action of the drug that can relieve his ongoing symptoms?","{""A"": ""Acting on the β-adrenergic receptors to increase cardiac contractility"", ""B"": ""Blocking the Na+-K+-2Cl- cotransporter in the thick ascending limb of the loop of Henle"", ""C"": ""Blocking the angiotensin II receptors, leading to vasodilation"", ""D"": ""Blocking the NaCl channels in the distal tubule of the nephron""}",Blocking the Na+-K+-2Cl- cotransporter in the thick ascending limb of the loop of Henle,B,Med-QA
"A 21-year-old woman was brought to the emergency department after her roommate found her unconscious at their apartment. On arrival, her GCS was 3/15, with bilateral mydriasis, fever of 39.4℃ (103.0℉), and ventricular tachycardia which was converted to sinus rhythm. She had one episode of a generalized tonic-clonic seizure on the way to the hospital which was managed with intravenous diazepam. Her hypertension was managed with nitroglycerin. After nasogastric tube insertion, gastric lavage and activated charcoal were given. Biochemistry result showed elevated creatinine phosphatase of 268 U/L and low serum bicarbonate of 16.7 mmol/L. Her blood and urine samples will most likely show intoxication with which of the following drugs?","{""A"": ""Cocaine"", ""B"": ""MPTP"", ""C"": ""PCP"", ""D"": ""Opioid""}",Cocaine,A,Med-QA
"A 70-year-old man comes to the physician for the evaluation of pain, cramps, and tingling in his lower extremities over the past 6 months. The patient reports that the symptoms worsen with walking more than two blocks and are completely relieved by rest. Over the past 3 months, his symptoms have not improved despite his participating in supervised exercise therapy. He has type 2 diabetes mellitus. He had smoked one pack of cigarettes daily for the past 50 years, but quit 3 months ago. He does not drink alcohol. His current medications include metformin, atorvastatin, and aspirin. Examination shows loss of hair and decreased skin temperature in the lower legs. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most appropriate treatment for this patient?","{""A"": ""Administration of cilostazol"", ""B"": ""Compression stockings"", ""C"": ""Endarterectomy"", ""D"": ""Bypass surgery""}",Administration of cilostazol,A,Med-QA
"A 43-year-old man presents with acute-onset left flank pain for the past 6 hours. He describes the pain as severe, intermittent, colicky, and “coming in waves”, and he points to the area of the left costovertebral angle (CVA). He says he recently has been restricting oral liquid intake to only 2 glasses of water per day based on the advice of his healer. He also reports nausea and vomiting. The patient has a history of hypertension, gout, and type 2 diabetes mellitus. He is afebrile, and his vital signs are within normal limits. On physical examination, he is writhing in pain and moaning. There is exquisite left CVA tenderness. A urinalysis shows gross hematuria. Which of the following is the next best step in the management of this patient?","{""A"": ""Contrast CT of the abdomen and pelvis"", ""B"": ""Renal ultrasound"", ""C"": ""Non-contrast CT of the abdomen and pelvis"", ""D"": ""Supine abdominal radiograph""}",Non-contrast CT of the abdomen and pelvis,C,Med-QA
"A 2-year-old boy presents to the pediatrician for evaluation of an elevated temperature, sore throat, runny nose, and lacrimation for the past week, and a rash which he developed yesterday. The rash began on the patient’s face and spread down to the trunk, hands, and feet. The patient’s mother gave him ibuprofen to control the fever. The child has not received mumps, measles, and rubella vaccinations because he was ill when the vaccine was scheduled and was later lost to follow-up. The vital signs include blood pressure 90/50 mm Hg, heart rate 110/min, respiratory rate 22/min, and temperature 37.8°C (100.0℉). On physical examination, the child was drowsy. His face, trunk, and extremities were covered with a maculopapular erythematous rash. Two irregularly-shaped red dots were also noted on the mucosa of the lower lip. The remainder of the physical examination was within normal limits. What is the probable causative agent for this child’s condition?","{""A"": ""Rubulavirus"", ""B"": ""Morbillivirus"", ""C"": ""Influenzavirus"", ""D"": ""Group A Streptococcus""}",Morbillivirus,B,Med-QA
"A 6-month-old boy is brought to the emergency department by his mother because of recurrent vomiting and yellowing of his eyes. The mother says that he has been eating poorly since she started weaning him off of breast milk 5 days ago. At this time, mashed vegetables and fruits were added to his diet. Examination shows scleral jaundice and dry mucous membranes. The tip of the liver is palpable 4 cm below the right costal margin. His serum glucose concentration is 47 mg/dL, serum alanine aminotransferase is 55 U/L, and serum aspartate aminotransferase is 66 U/L. Which of the following enzymes is most likely deficient?","{""A"": ""Galactokinase"", ""B"": ""Galactose-1 phosphate uridyltransferase"", ""C"": ""Aldolase B"", ""D"": ""Glucose-6-phosphatase""}",Aldolase B,C,Med-QA
"A 78-year old woman presents to the emergency department with severe abdominal pain. Past medical history is significant for congestive heart failure, hypertension, hyperlipidemia, and gout. Her medications include lisinopril, metoprolol, atorvastatin, and allopurinol. Her blood pressure is 125/90 mm Hg, heart rate 95/min and temperature is 37.3°C (99.2°F). Abdominal X-ray reveals a dilated bowel with bowel wall thickening and pneumatosis intestinalis isolated to the splenic flexure and descending colon. These findings are highly suspicious for ischemic colitis with a differential diagnosis of pseudomembranous colitis. Which vessel contributes the most to the delivery of blood to the affected area?","{""A"": ""Sigmoid arteries"", ""B"": ""Internal pudendal artery"", ""C"": ""Left colic artery"", ""D"": ""Superior rectal artery""}",Left colic artery,C,Med-QA
